"ایدی","کد پلاک","استان","شهرستان","حروف اختصاصی"
"96","32","خراسان رضوی","نیشابور","ب"
"97","32","خراسان رضوی","سبزوار","ج"
"98","32","خراسان رضوی","تربت حیدریه","د"
"99","32","خراسان رضوی","قوچان","س"
"100","32","خراسان رضوی","گناباد","ص"
"101","32","خراسان رضوی","تربت جام","ط"
"102","32","خراسان رضوی","کاشمر","ق"
"103","32","خراسان رضوی","قائنات","ل"
"104","32","خراسان رضوی","فردوس","م"
"105","32","خراسان رضوی","تایباد","ن"
"106","32","خراسان رضوی","خواف","هـ"
"107","32","خراسان رضوی","بردسکن","ی"
"108","33","تهران","تهران","ب ج د س ص ط ق ل م ن و هـ ی"
"109","34","خوزستان","باغ‌ملک","ب"
"110","34","خوزستان","امیدیه","ج"
"111","34","خوزستان","هندیجان","د"
"112","34","خوزستان","لالی","س"
"113","34","خوزستان","دزفول","ص"
"114","34","خوزستان","ماهشهر","ط"
"115","34","خوزستان","آبادان","ق"
"116","34","خوزستان","بهبهان","ن"
"117","34","خوزستان","شوشتر","هـ"
"118","34","خوزستان","دزفول","و"
"119","34","خوزستان","اهواز","ی"
"120","35","آذربایجان شرقی","اسکو","ب"
"121","35","آذربایجان شرقی","آذرشهر","ص"
"122","35","آذربایجان شرقی","اهر","ن"
"123","35","آذربایجان شرقی","بناب","س"
"124","35","آذربایجان شرقی","بستان‌آباد","ی"
"125","35","آذربایجان شرقی","جلفا","هـ"
"126","35","آذربایجان شرقی","سراب","و"
"127","35","آذربایجان شرقی","شبستر","د"
"128","35","آذربایجان شرقی","کلیبر","ج"
"129","35","آذربایجان شرقی","میانه","ز"
"130","35","آذربایجان شرقی","هریس","الف"
"131","35","آذربایجان شرقی","هشترود","ت"
"132","35","آذربایجان شرقی","تبریز","ل م"
"133","35","آذربایجان شرقی","چاراویماق","س"
"134","36","خراسان رضوی","مشهد","ب ج د س ص ط و هـ"
"135","36","خراسان رضوی","کاشمر","ق"
"136","36","خراسان رضوی","نیشابور","ل"
"137","36","خراسان رضوی","سبزوار","م"
"138","36","خراسان رضوی","تربت حیدریه","ن"
"139","36","خراسان رضوی","تربت جام","ی"
"140","37","آذربایجان غربی","خوی","ب"
"141","37","آذربایجان غربی","میاندوآب","ج"
"142","37","آذربایجان غربی","نقده","د"
"143","37","آذربایجان غربی","سلماس","س"
"144","37","آذربایجان غربی","مهاباد","ص"
"145","37","آذربایجان غربی","بوکان","ط"
"146","37","آذربایجان غربی","سلماس","ق"
"147","37","آذربایجان غربی","ماکو","ل"
"148","37","آذربایجان غربی","خوی","م"
"149","37","آذربایجان غربی","میاندوآب","ن"
"150","38","تهران و البرز","کرج","ب"
"151","38","تهران و البرز","شهریار","ج"
"152","38","تهران و البرز","کرج","د س"
"153","38","تهران و البرز","ورامین","ص"
"154","38","تهران و البرز","شهریار","ط"
"155","38","تهران و البرز","اسلامشهر","ق"
"156","38","تهران و البرز","رباط‌کریم","ل"
"157","38","تهران و البرز","کرج","م ن"
"158","38","تهران و البرز","شهریار","و"
"159","38","تهران و البرز","کرج","هـ ی"
"160","39","تخصیص نیافته","-","-"
"161","40","تهران","تهران","ب ج د س ص ط ق ل م ن و هـ ی"
"162","41","لرستان","بروجرد","ب م ن"
"163","41","لرستان","الیگودرز","ج"
"164","41","لرستان","دورود","د و"
"165","41","لرستان","کوهدشت","س"
"166","41","لرستان","دلفان","ص"
"167","41","لرستان","ازنا","ط"
"168","41","لرستان","پل‌دختر","ق"
"169","41","لرستان","سلسله","ل"
"170","42","خراسان رضوی","فریمان","ب"
"171","42","خراسان رضوی","سرخس","د"
"172","42","خراسان رضوی","درگز","س"
"173","42","خراسان رضوی","خواف","ص"
"174","42","خراسان رضوی","چناران","ط"
"175","42","خراسان رضوی","اسفراین","ق"
"176","42","خراسان رضوی","بردسکن","ل"
"177","42","خراسان رضوی","رشت‌خوار","م"
"178","42","خراسان رضوی","جاجرم","ن"
"179","42","خراسان رضوی","مانه و سملقان","و"
"180","42","خراسان رضوی","سربیشه","هـ"
"181","42","خراسان رضوی","کلات","ی"
"182","43","اصفهان","فریدن","ب"
"183","43","اصفهان","مبارکه","ج"
"184","43","اصفهان","شاهین‌شهر و میمه","د"
"185","43","اصفهان","آران و بیدگل","س"
"186","43","اصفهان","تیران و کرون","ص"
"187","43","اصفهان","مبارکه","ط"
"188","43","اصفهان","دهاقان","ق"
"189","43","اصفهان","شاهین‌شهر و میمه","ل"
"190","43","اصفهان","نجف‌آباد","م"
"191","43","اصفهان","خمینی‌شهر","ن"
"192","43","اصفهان","کاشان","و"
"193","43","اصفهان","لنجان","هـ"
"194","43","اصفهان","فلاورجان","ی"
"195","44","تهران","تهران","ب ج د س ص ط ق ل م ن و هـ ی"
"196","45","کرمان","کرمان","ب ج د س ص ط ق ل م ن و هـ"
"197","46","گیلان","رشت","ب"
"198","47","مرکزی","اراک","ب"
"199","48","بوشهر","بوشهر","ب ج"
"200","49","کهگیلویه و بویراحمد","یاسوج","ب ج"
"201","49","کهگیلویه و بویراحمد","گچساران","ص"
"202","49","کهگیلویه و بویراحمد","کهگیلویه","ط"
"203","49","کهگیلویه و بویراحمد","دنا","ق"
"204","49","کهگیلویه و بویراحمد","گچساران","ل"
"205","50","تهران","تهران","ب ج د س ص ط ق ل م ن و هـ ی"
"206","51","کردستان","سنندج","ب ج د س ص ط ق ل م ن و هـ ی"
"207","52","خراسان جنوبی","بیرجند","ب ج د س"
"208","52","خراسان جنوبی","قائنات","ص"
"209","52","خراسان جنوبی","فردوس","ط"
"210","52","خراسان جنوبی","نهبندان","ق"
"211","52","خراسان جنوبی","سربیشه","ل"
"212","53","اصفهان","اصفهان","ب ج د س"
"213","53","اصفهان","شهرضا","ط"
"214","53","اصفهان","اصفهان","ق ل"
"215","53","اصفهان","شاهین‌شهر و میمه","م"
"216","53","اصفهان","نجف‌آباد","ن"
"217","53","اصفهان","اصفهان","و"
"218","53","اصفهان","کاشان","هـ"
"219","53","اصفهان","خمینی‌شهر","ی"
"220","54","یزد","یزد","ب ج د س ص ط ق ل م ن و"
"221","55","تهران","تهران","ب ج د س ص ط ق ل م ن و هـ ی"
"222","56","گیلان","انزلی","ب"
"223","56","گیلان","لاهیجان","ج"
"224","56","گیلان","آستارا","د"
"225","56","گیلان","طالش","س"
"226","56","گیلان","رودسر","ص"
"227","56","گیلان","رودبار","ط"
"228","56","گیلان","صومعه‌سرا","ق"
"229","56","گیلان","فومن","ل"
"230","56","گیلان","لنگرود","م"
"231","56","گیلان","رضوانشهر","ن"
"232","56","گیلان","ماسال","هـ"
"233","56","گیلان","املش و شفت","ی"
"234","57","مرکزی","ساوه","ب"
"235","57","مرکزی","خمین","ج"
"236","57","مرکزی","محلات","د"
"237","57","مرکزی","تفرش و فراهان","س"
"238","57","مرکزی","دلیجان","ص"
"239","57","مرکزی","آشتیان","ط"
"240","57","مرکزی","شازند","ق"
"241","57","مرکزی","زرندیه","ل"
"242","57","مرکزی","خمین","م"
"243","57","مرکزی","کمیجان","ن"
"244","57","مرکزی","ساوه","و هـ"
"245","58","بوشهر","دشتستان","ب"
"246","58","بوشهر","گناوه","ج"
"247","58","بوشهر","کنگان و عسلویه","د"
"248","58","بوشهر","تنگستان","س"
"249","58","بوشهر","دشتی","ص"
"250","58","بوشهر","دیر","ط"
"251","58","بوشهر","دیلم","ق"
"252","58","بوشهر","جم","ل"
"253","58","بوشهر","دشتستان","م"
"254","59","گلستان","گرگان","ب ج د س ص ط"
"255","60","تهران","تهران","ب ج د س ص ط"
"256","61","کردستان","سقز","ب"
"257","61","کردستان","بیجار","ج"
"258","61","کردستان","بانه","د"
"259","61","کردستان","قروه و دهگلان","س"
"260","61","کردستان","مریوان","ص"
"261","61","کردستان","دیواندره","ط"
"262","61","کردستان","کامیاران","ق"
"263","61","کردستان","سروآباد","ل"
"264","61","کردستان","سقز","م"
"265","61","کردستان","قروه و دهگلان","ن"
"266","61","کردستان","مریوان","و"
"267","61","کردستان","بانه","هـ"
"268","62","مازندران","ساری","ب ج د س ص ط ق"
"269","63","فارس","شیراز","ب ج د س ص ط ق ل م ن و هـ ی"
"270","64","یزد","اردکان","ب"
"271","64","یزد","تفت","ج"
"272","64","یزد","میبد","د"
"273","64","یزد","بافق و بهاباد","س"
"274","64","یزد","مهریز","ص"
"275","64","یزد","ابرکوه","ط"
"276","64","یزد","طبس","ق"
"277","64","یزد","خاتم","ل"
"278","64","یزد","اشکذر","م"
"279","65","کرمان","رفسنجان و انار","ب ی"
"280","65","کرمان","بم","ج"
"281","65","کرمان","سیرجان","د"
"282","65","کرمان","بافت","س"
"283","65","کرمان","جیرفت","ص"
"284","65","کرمان","زرند","ط"
"285","65","کرمان","کهنوج","ق"
"286","65","کرمان","شهربابک","ل"
"287","65","کرمان","بردسیر","م"
"288","65","کرمان","منوجان","ن"
"289","65","کرمان","عنبرآباد","و"
"290","65","کرمان","راور","هـ"
"291","66","تهران","تهران","ب ج د س ص ط ق ل م ن و هـ ی"
"292","67","اصفهان","اصفهان","ب ج د س"
"293","67","اصفهان","لنجان","ص"
"294","67","اصفهان","اصفهان","ط"
"295","67","اصفهان","شاهین‌شهر و میمه","ق"
"296","67","اصفهان","اصفهان","ل"
"297","67","اصفهان","نجف‌آباد","م"
"298","67","اصفهان","اصفهان","ن و"
"299","68","تهران و البرز","کرج","ب ج د س ص ط ق ل م ن و هـ ی"
"300","69","گلستان","گنبد کاووس","ب"
"301","69","گلستان","ترکمن","ج"
"302","69","گلستان","کردکوی","د"
"303","69","گلستان","علی‌آباد","س"
"304","69","گلستان","آزادشهر","ص"
"305","69","گلستان","مینودشت و گالیکش","ط"
"306","69","گلستان","بندر گز","ق"
"307","69","گلستان","رامیان","ل"
"308","69","گلستان","آق‌قلا","م"
"309","69","گلستان","کلاله و مراوه‌تپه","ن"
"310","69","گلستان","گنبد کاووس","و هـ"
"311","70","تخصیص نیافته","-","-"
"312","71","چهارمحال و بختیاری","شهرکرد","ب ج د س ص ط"
"313","72","مازندران","آمل","ب"
"314","72","مازندران","بابل","ج"
"315","72","مازندران","تنکابن و عباس‌آباد","د"
"316","72","مازندران","رامسر","س"
"317","72","مازندران","نوشهر","ص"
"318","72","مازندران","نور","ط"
"319","72","مازندران","بهشهر و گلوگاه","ق"
"320","72","مازندران","قائم‌شهر","ل"
"321","72","مازندران","بابلسر","م"
"322","72","مازندران","چالوس","ن"
"323","72","مازندران","محمودآباد","و"
"324","72","مازندران","نکا","هـ"
"325","72","مازندران","جویبار","ی"
"326","73","فارس","جهرم","ب"
"327","73","فارس","لارستان","ج"
"328","73","فارس","داراب","د"
"329","73","فارس","فسا","س"
"330","73","فارس","کازرون","ص"
"331","73","فارس","فیروزآباد","ط"
"332","73","فارس","آباده","ق"
"333","73","فارس","مرودشت","ل"
"334","73","فارس","لامرد","م"
"335","73","فارس","نی‌ریز","ن"
"336","73","فارس","استهبان","و"
"337","73","فارس","اقلید","هـ"
"338","73","فارس","سپیدان","ی"
"339","74","خراسان رضوی","مشهد","ب د س ص ق م ن و هـ ی"
"340","74","خراسان رضوی","قوچان","ج"
"341","74","خراسان رضوی","نیشابور","ط"
"342","74","خراسان رضوی","سبزوار","ل"
"343","75","کرمان","سیرجان","ب ص م"
"344","75","کرمان","بم","ج"
"345","75","کرمان","جیرفت","د"
"346","75","کرمان","رفسنجان","س ل"
"347","75","کرمان","زرند","ط"
"348","75","کرمان","کهنوج","ق"
"349","76","گیلان","سیاهکل","ب"
"350","76","گیلان","آستانه اشرفیه","ج"
"351","76","گیلان","لاهیجان","د"
"352","76","گیلان","انزلی","س"
"353","76","گیلان","لنگرود","ص"
"354","76","گیلان","طالش","ط"
"355","76","گیلان","رودسر","ق"
"356","77","تهران","تهران","ب ج د س ص ط ق ل م ن و هـ ی"
"357","78","تهران","اسلامشهر","ب ی"
"358","78","تهران","رباط‌کریم","ج م"
"359","78","تهران","شهریار","د هـ"
"360","78","تهران","ورامین","س"
"361","78","تهران","دماوند","ص"
"362","78","تهران","ساوجبلاغ","ط"
"363","78","تهران","فیروزکوه","ق"
"364","78","تهران","پاکدشت","ل"
"365","78","تهران","ری","ن"
"366","78","تهران","شمیرانات","و"
"367","79","قزوین","قزوین","ب ج د س ص ط ق ل م ن"
"368","80","تخصیص نیافته","-","-"
"369","81","چهارمحال و بختیاری","بروجن","ب ق"
"370","81","چهارمحال و بختیاری","اردل","ج"
"371","81","چهارمحال و بختیاری","فارسان","د"
"372","81","چهارمحال و بختیاری","لردگان","س"
"373","81","چهارمحال و بختیاری","کوهرنگ","ص"
"374","82","مازندران","سوادکوه","ب"
"375","82","مازندران","بابل","ج ص م"
"376","82","مازندران","آمل","د ق"
"377","82","مازندران","قائم‌شهر","س ن"
"378","82","مازندران","تنکابن","ط"
"379","82","مازندران","بابلسر","ل"
"380","82","مازندران","چالوس","و"
"381","82","مازندران","بهشهر","هـ"
"382","82","مازندران","نوشهر","ی"
"383","83","فارس","ممسنی و رستم","ب"
"384","83","فارس","زرین‌دشت","ج"
"385","83","فارس","قیر و کارزین","د"
"386","83","فارس","مهر","س"
"387","83","فارس","ارسنجان","ص"
"388","83","فارس","خرم‌بید","ط"
"389","83","فارس","بوانات","ق"
"390","83","فارس","فراشبند","ل"
"391","83","فارس","لارستان","م"
"392","83","فارس","کازرون","ن"
"393","83","فارس","مرودشت","و"
"394","83","فارس","جهرم","هـ"
"395","83","فارس","فسا","ی"
"396","84","هرمزگان","بندرعباس","ب ج د س ص ط ق ل م"
"397","85","سیستان و بلوچستان","زاهدان","ب ج د س ص ط ق"
"398","86","سمنان","سمنان","ب ج د"
"399","87","زنجان","زنجان","ب ج د س ص ط ق"
"400","88","تهران","تهران","ب ج د س ص ط ق ل م ن و هـ ی"
"401","89","قزوین","تاکستان","ب س"
"402","89","قزوین","بوئین‌زهرا و آوج","ج"
"403","89","قزوین","آبیک","د"
"404","89","قزوین","تاکستان","س"
"405","90","تخصیص نیافته","-","-"
"406","91","اردبیل","اردبیل","ب ج د س ق م و هـ ی"
"407","91","اردبیل","پارس‌آباد","س"
"408","91","اردبیل","خلخال","ص"
"409","91","اردبیل","گرمی","ط"
"410","91","اردبیل","مشگین‌شهر","ق"
"411","91","اردبیل","بیله‌سوار","ل"
"412","91","اردبیل","نیر","م"
"413","91","اردبیل","نمین","ن"
"414","91","اردبیل","کوثر","و"
"415","91","اردبیل","اردبیل","هـ"
"416","91","اردبیل","اردبیل","ی"
"417","92","مازندران","آمل","ب"
"418","92","مازندران","بابل","ج"
"419","92","مازندران","تنکابن","د"
"420","92","مازندران","قائم‌شهر","س"
"421","92","مازندران","بابل","ص"
"422","93","فارس","شیراز","ب ج د س ص ط ق"
"423","93","فارس","لارستان","ل"
"424","93","فارس","شیراز","م ن"
"425","93","فارس","مرودشت","و"
"426","93","فارس","شیراز","هـ"
"427","93","فارس","کازرون","ی"
"428","94","هرمزگان","میناب","ب"
"429","94","هرمزگان","بندرلنگه","ج"
"430","94","هرمزگان","رودان","د"
"431","94","هرمزگان","ابوموسی","س"
"432","94","هرمزگان","جاسک","ص"
"433","94","هرمزگان","بستک","ط"
"434","94","هرمزگان","حاجی‌آباد","ق"
"435","94","هرمزگان","قشم","ل"
"436","94","هرمزگان","میناب","م"
"437","94","هرمزگان","بندرلنگه","ن"
"438","95","سیستان و بلوچستان","زابل","ب"
"439","95","سیستان و بلوچستان","ایرانشهر","ج"
"440","95","سیستان و بلوچستان","خاش","د"
"441","95","سیستان و بلوچستان","سراوان","س"
"442","95","سیستان و بلوچستان","نیک‌شهر","ص"
"443","95","سیستان و بلوچستان","سرباز","ط"
"444","95","سیستان و بلوچستان","چابهار","ق"
"445","95","سیستان و بلوچستان","زابل","ل"
"446","95","سیستان و بلوچستان","ایرانشهر","م"
"447","95","سیستان و بلوچستان","سراوان","ن"
"448","95","سیستان و بلوچستان","زابل","و"
"449","96","سمنان","دامغان","ب"
"450","96","سمنان","شاهرود","ج"
"451","96","سمنان","گرمسار","د"
"452","96","سمنان","مهدیشهر","س"
"453","96","سمنان","شاهرود","ص ط"
"454","97","زنجان","ابهر","ب ق"
"455","97","زنجان","خدابنده","ج"
"456","97","زنجان","خرمدره","د"
"457","97","زنجان","ایجرود","س"
"458","97","زنجان","طارم","ص"
"459","97","زنجان","ماهنشان","ط"
"460","98","ایلام","ایلام","ب ج د س"
"461","98","ایلام","مهران","ص"
"462","98","ایلام","دره‌شهر","ط"
"463","98","ایلام","دهلران","ق"
"464","98","ایلام","چرداول","ل"
"465","98","ایلام","ایوان","م"
"466","98","ایلام","آبدانان","ن"
"467","99","تهران","تهران","ب ج د س ص ط ق ل م ن و هـ ی"
